bug_id,creation_ts,Assignee,Description
29865,1/21/2003 4:18,philippe_mulet,"Source visibility in project dependency When having a reference on another project you ""see"" all the sources that are in this referenced projects. It appears that in projects you can have API sources and CORE sources (generally in 2 different src folders) because only the target packaging of the project defines what is public and what is not in the end. (by external tool)I would like to have to possibily in the ""Order and export"" tab of the project properties->java build path to uncheck some of the source folders so that referencing projects would not see these classes. This can let me hide core classes and have a clean dependency between projects.One could say the solution is to create 2 different projects. The problem is that I need another one to gather both api and core classes for packaging purposes and it's not possible in Eclipse to have nested projects (is it ??)Thanks."
35526,3/21/2003 17:14,martinae,"Error not surfaced on failed quick fix [quick fix] Build: 2.1 RC3a1) Create a java file A.java:public class A {}2) In the java editor change the class name to ""Com1"".3) The word ""Com1"" will be underlined because it doesn't match the compilationunit name. Select the name and invoke quick fix.4) Choose the quick fix option ""Rename the compilation unit to Com1.java""-> Nothing happens.The log file contains several stack tracesExpectation: The error should be reported to the user not to the log (sinceit's a user error not a program failure)."
36032,4/3/2003 13:22,frederic_fusier,[plan] JavaProject.findType() fails to find second type in source file Given a file with two classes the findType() method is apparently unable tolocate the secondary type in a source file. For example: given the followingfindType() will be able to find Foo but not Bar.// Foo.javapublic class Foo {}class Bar {}
41443,8/12/2003 13:45,daniel_megert,overview ruler not working smoke test for 20030812The overview ruler in the Java editor does not work when starting with a fresh workspace as described in the smoke test scenario.
41468,8/13/2003 6:50,markus.kell.r,"move instance method: method parameter lost [refactoring] 20030806+0812exportA.javapackage p;public class A {	Second s;	public void print() {		s.foo(s);		s.bar();			}}Second.javapackage p;class Second {	public void foo(Second s) {		s.bar();	}	public void bar() {	}}move print from A to Second - the code does not compile after that becausethe call to foo looses an argument"
41489,8/13/2003 11:27,markus.kell.r,"[Dialogs] Move resource should filter closed projects The move resource dialog should either filter closed projects or should offer afunctionality to open closed projects.The error message ""The selected destination is not accessible"" is inadaquate."
41491,8/13/2003 11:41,rfaust,Add constructors from fields issues 200300813a. add visibility buttons like 'Add constructor from super class'
41500,8/13/2003 13:12,jdt-ui-inbox,call hierarchy: history dialog button enablement incorrect [call hierarchy] 20030806in the history dialog the 'Remove' button isenabled when nothing is selected anddisabled when everything is selectedboth are wrong
45408,10/22/2003 14:49,markus.kell.r,"Enable assertions during unit tests [JUnit] As I understand it Java 1.4 assertions are disabled by default unless the vmargument ""-ea"" exists. I would like very much for Eclipse to have an option toalways enable assertions while running my unit tests from the ""run as... JUnittest"" menu item. I realize that I can define a runtime configuration and specify the parametersthere but if this were the ""default"" that would be very helpful."
45507,10/24/2003 10:49,sarika.sinha,"[evaluation] cannot access inner class fields in expressions 3.0 M4I cannot use inner class field in a breakpoint condition expression. ""this"" willpoint to the outer class instance. That forces me to change the method code tofirst copy the inner class instance field to a local variable. Then I can usethat local variable in my breakpoint condition:public class MyClass { public Runnable m1() { return new Runnable() { private int innerClassField; public void run() { int localVariable = innerClassField; // << workaround: copy to local var innerClassField++; // << breakpoint goes here } }; }}In the example above I cannot use ""innerClassField"" in the breakpointcondition but I can use ""localVariable""."
47339,11/24/2003 8:34,frederic_fusier,Javadoc problem while using @see tag I am working with 3.0 M5 and I doesn't ignore problem in Javadoc Tags:when I use @see JDT gives problem for missing tags which are described in the Javadoc of the indicated method in the @see tag
49619,1/7/2004 5:16,jarthana,[formatting] comment formatter leaves whitespace in comments if you format the follwing---------------------------------public class A{ /** * the line below will end in whitespace * * @param x something blah */ public void method(int x) { }}---------------------------------------------the middle line in the comments will have a whitespace at the end.
56062,3/24/2004 18:06,sarika.sinha,[source lookup] Duplicate source lookup should indicate full location of duplicate If you have duplicate source for a classfile the duplicate source files found dialog does not indicate the full location of the duplicates.For example the JAR should be indicated as well as the package name (which may be the same).
56323,3/26/2004 5:41,daniel_megert,"[implementation] NPE when opening file from reprository view 20040325Got this NPE when opening an editor from the rep viewjava.lang.NullPointerException	at java.lang.Throwable.<init>(Throwable.java)	at java.lang.Throwable.<init>(Throwable.java)	at java.lang.NullPointerException.<init>(NullPointerException.java:60)	atorg.eclipse.jdt.internal.ui.javaeditor.ASTProvider.activeJavaEditorChanged(ASTProvider.java:210)	atorg.eclipse.jdt.internal.ui.javaeditor.ASTProvider.access$0(ASTProvider.java:199)	atorg.eclipse.jdt.internal.ui.javaeditor.ASTProvider$ActivationListener.partVisible(ASTProvider.java:102)	at org.eclipse.ui.internal.PartListenerList2$7.run(PartListenerList2.java:175)	at org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java)	at org.eclipse.core.runtime.Platform.run(Platform.java)	atorg.eclipse.ui.internal.PartListenerList2.firePartVisible(PartListenerList2.java)	at org.eclipse.ui.internal.WWinPartService$1.partVisible(WWinPartService.java:68)	at org.eclipse.ui.internal.PartListenerList2$7.run(PartListenerList2.java:175)	at org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java)	at org.eclipse.core.runtime.Platform.run(Platform.java)	atorg.eclipse.ui.internal.PartListenerList2.firePartVisible(PartListenerList2.java)	at org.eclipse.ui.internal.WorkbenchPage$1.propertyChange(WorkbenchPage.java)	at org.eclipse.ui.internal.LayoutPart.setVisible(LayoutPart.java)	at org.eclipse.ui.internal.PartPane.setVisible(PartPane.java:309)	atorg.eclipse.ui.internal.PresentableEditorPart.setVisible(PresentableEditorPart.java:93)	atorg.eclipse.ui.internal.presentations.BasicStackPresentation.selectPart(BasicStackPresentation.java:652)	at org.eclipse.ui.internal.EditorWorkbook.setSelection(EditorWorkbook.java:777)	atorg.eclipse.ui.internal.EditorWorkbook.setVisibleEditor(EditorWorkbook.java:1118)	atorg.eclipse.ui.internal.EditorPresentation.setVisibleEditor(EditorPresentation.java:287)	at org.eclipse.ui.internal.EditorManager.setVisibleEditor(EditorManager.java:1048)	at org.eclipse.ui.internal.WorkbenchPage.bringToTop(WorkbenchPage.java:586)	at org.eclipse.ui.internal.WorkbenchPage.activate(WorkbenchPage.java:454)	at org.eclipse.ui.internal.WorkbenchPage.busyOpenEditor(WorkbenchPage.java:2142)	at org.eclipse.ui.internal.WorkbenchPage.access$6(WorkbenchPage.java:2071)	at org.eclipse.ui.internal.WorkbenchPage$9.run(WorkbenchPage.java:2058)	at org.eclipse.swt.custom.BusyIndicator.showWhile(BusyIndicator.java)	at org.eclipse.ui.internal.WorkbenchPage.openEditor(WorkbenchPage.java:2053)	at org.eclipse.ui.internal.WorkbenchPage.openEditor(WorkbenchPage.java:2036)	atorg.eclipse.team.internal.ccvs.ui.actions.OpenRemoteFileAction$1.run(OpenRemoteFileAction.java:101)	atorg.eclipse.team.internal.ccvs.ui.repo.RepositoryManager.run(RepositoryManager.java:741)	at org.eclipse.team.internal.ccvs.ui.actions.CVSAction$1.run(CVSAction.java:225)	at org.eclipse.team.internal.ccvs.ui.actions.CVSAction$2.run(CVSAction.java:244)	at org.eclipse.swt.custom.BusyIndicator.showWhile(BusyIndicator.java)	at org.eclipse.team.internal.ccvs.ui.actions.CVSAction.run(CVSAction.java:241)	atorg.eclipse.team.internal.ccvs.ui.actions.OpenRemoteFileAction.execute(OpenRemoteFileAction.java:73)	at org.eclipse.team.internal.ccvs.ui.actions.CVSAction.run(CVSAction.java:52)	atorg.eclipse.team.internal.ccvs.ui.repo.RemoteViewPart.handleDoubleClick(RemoteViewPart.java:397)	atorg.eclipse.team.internal.ccvs.ui.repo.RemoteViewPart.access$1(RemoteViewPart.java:387)	atorg.eclipse.team.internal.ccvs.ui.repo.RemoteViewPart$8.doubleClick(RemoteViewPart.java:305)	at org.eclipse.jface.viewers.StructuredViewer$1.run(StructuredViewer.java:381)	at org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java)	at org.eclipse.core.runtime.Platform.run(Platform.java)	atorg.eclipse.jface.viewers.StructuredViewer.fireDoubleClick(StructuredViewer.java:379)	atorg.eclipse.jface.viewers.StructuredViewer.handleDoubleSelect(StructuredViewer.java:598)	atorg.eclipse.jface.viewers.StructuredViewer$4.widgetDefaultSelected(StructuredViewer.java:693)	atorg.eclipse.jface.util.OpenStrategy.fireDefaultSelectionEvent(OpenStrategy.java:187)	at org.eclipse.jface.util.OpenStrategy.access$0(OpenStrategy.java)	at org.eclipse.jface.util.OpenStrategy$1.handleEvent(OpenStrategy.java)	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java)	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java)	at org.eclipse.swt.widgets.Display.runDeferredEvents(Display.java)	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java)	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1562)	at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:1536)	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:257)	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:139)	at org.eclipse.ui.internal.ide.IDEApplication.run(IDEApplication.java:90)	atorg.eclipse.core.internal.runtime.PlatformActivator$1.run(PlatformActivator.java:288)	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:232)	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:116)	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:79)	atsun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:41)	at java.lang.reflect.Method.invoke(Method.java:386)	at org.eclipse.core.launcher.Main.basicRun(Main.java:315)	at org.eclipse.core.launcher.Main.run(Main.java:740)	at org.eclipse.core.launcher.Main.main(Main.java:724)"
57294,4/2/2004 14:33,philippe_mulet,Ignore serialVersionUID hiding another field When I enabled the compiler warning Advanced -> Field declaration hides anotherfield or variable I get the warning:The field Two.serialVersionUID is hiding a field from type One.This is pretty simple to reproduce:public class One implements Serializable{ static final long serialVersionUID = 1234567890L;}public class Two extends One{ static final long serialVersionUID = 987654321L;}I'd suggest that serialVersionUID should be ignored for this set of warnings.
65604,6/3/2004 15:06,jared_burns,"Invalid stack frame exceptions Build 200406030854After debugging Eclipse for a little while I noticed that I have a ton of ""Invalid stack frame"" exceptions in my log (around 40 of them - I guess one for each frame?). Looks like Bug 57467 but I'm not sure if the underlying cause is really a dup.org.eclipse.debug.core.DebugException: Invalid stack frame	at org.eclipse.jdt.internal.debug.core.model.JDIStackFrame.getUnderlyingStackFrame(JDIStackFrame.java:961)	at org.eclipse.jdt.internal.debug.core.model.JDIStackFrame.getUnderlyingMethod(JDIStackFrame.java:226)	at org.eclipse.jdt.internal.debug.core.model.JDIStackFrame.isOutOfSynch(JDIStackFrame.java:880)	at org.eclipse.jdt.internal.debug.ui.JDIModelPresentation.computeJDIAdornmentFlags(JDIModelPresentation.java:831)	at org.eclipse.jdt.internal.debug.ui.JDIModelPresentation.getDebugElementImage(JDIModelPresentation.java:797)	at org.eclipse.jdt.internal.debug.ui.JDIModelPresentation.getImage(JDIModelPresentation.java:637)	at org.eclipse.debug.internal.ui.LazyModelPresentation.getImage(LazyModelPresentation.java:94)	at org.eclipse.debug.internal.ui.DelegatingModelPresentation.getImage(DelegatingModelPresentation.java:141)	at org.eclipse.debug.internal.ui.views.DebugViewInterimLabelProvider.getImage(DebugViewInterimLabelProvider.java:58)	at org.eclipse.jface.viewers.DecoratingLabelProvider.getImage(DecoratingLabelProvider.java:74)	at org.eclipse.debug.internal.ui.views.launch.LaunchViewer.doUpdateItem(LaunchViewer.java:92)	at org.eclipse.jface.viewers.AbstractTreeViewer$UpdateItemSafeRunnable.run(AbstractTreeViewer.java:83)	at org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java:615)	at org.eclipse.core.runtime.Platform.run(Platform.java:758)	at org.eclipse.jface.viewers.AbstractTreeViewer.doUpdateItem(AbstractTreeViewer.java:459)	at org.eclipse.jface.viewers.StructuredViewer$UpdateItemSafeRunnable.run(StructuredViewer.java:128)	at org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java:615)	at org.eclipse.core.runtime.Platform.run(Platform.java:758)	at org.eclipse.jface.viewers.StructuredViewer.updateItem(StructuredViewer.java:1368)	at org.eclipse.jface.viewers.StructuredViewer.update(StructuredViewer.java:1352)	at org.eclipse.jface.viewers.StructuredViewer.update(StructuredViewer.java:1280)	at org.eclipse.debug.internal.ui.views.DebugViewDecoratingLabelProvider.labelsComputed(DebugViewDecoratingLabelProvider.java:67)	at org.eclipse.debug.internal.ui.views.DebugViewLabelDecorator$1.run(DebugViewLabelDecorator.java:135)	at org.eclipse.swt.widgets.RunnableLock.run(RunnableLock.java:35)	at org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:106)	at org.eclipse.swt.widgets.Display.runAsyncMessages(Display.java:2489)	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:2226)	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1363)	at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:1334)	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:253)	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:141)	at org.eclipse.ui.internal.ide.IDEApplication.run(IDEApplication.java:96)	at org.eclipse.core.internal.runtime.PlatformActivator$1.run(PlatformActivator.java:334)	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:273)	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:128)	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)	at java.lang.reflect.Method.invoke(Method.java:324)	at org.eclipse.core.launcher.Main.basicRun(Main.java:185)	at org.eclipse.core.launcher.Main.run(Main.java:638)	at org.eclipse.core.launcher.Main.main(Main.java:622)"
65875,6/5/2004 15:26,nicohoess,"[extract local] puts declaration at wrong position Extract Local Variable puts the declaration at a wrong position iff- the selected expression is in an ExpressionStatement and- there's a matching fragment before the selected expressionpublic class ExpressionStatement {	void m() {		System.out.println(calculateCount());		calculateCount(); //Extract Local Variable	}	private int calculateCount() {		return 1;	}}The declaration is created at the position of the ExpressionStatement instead ofbefore the first matching fragment. The fix is very local and the code todetermine the right position is already there and can be reused."
68233,6/22/2004 16:42,sarika.sinha,Null Pointer in JavaBreakpoint I was using RC3 and doing hyades development hyades wasn't installed in myplugins but the hyades projects were open in my workspace. The workspace I wasusing was originally produced by the M9 build if that's any help. The nullpointer occured during one of a long series of debugging sessions I had beenrunning the backtrace was$ java.lang.NullPointerException atorg.eclipse.jdt.internal.debug.core.breakpoints.JavaBreakpoint.installableReferenceType(JavaBreakpoint.java:318) atorg.eclipse.jdt.internal.debug.core.breakpoints.JavaBreakpoint.handleClassPrepareEvent(JavaBreakpoint.java:276) atorg.eclipse.jdt.internal.debug.core.breakpoints.JavaBreakpoint.handleEvent(JavaBreakpoint.java:256) atorg.eclipse.jdt.internal.debug.core.EventDispatcher.dispatch(EventDispatcher.java:137) atorg.eclipse.jdt.internal.debug.core.EventDispatcher.run(EventDispatcher.java:221) at java.lang.Thread.run(Thread.java:534)after the backtrace I cannot be sure but the debugging session seemed to stallthe runtime-workbench continued to refresh but actions would no longer have anyeffect. I tried terminating the runtime-workbench and debugging again a numberof times but again the application would go unresponsive in certain areas itoccurs to me that the unresponsive areas may of been in the same spots as somedisabled Breakpoints but I can't confirm that either way the exact spot theprogram grew unresponsive varied the state of the debugging window didn'treflect having hit any kind of breakpoint. I shut down the program after notingthe Null Pointer did show up once more later on (important to note that Idebugged many times before and after with out the null pointer). The problemappears to have desisted when I restarted eclipse.I'm sorry I can't give steps to reproduce but felt I might as well give what Ihave I'll continue to play around with it and update this report if I find anymore info.
71627,8/9/2004 5:15,jerome.cambon,"[code style] don't generate redundant modifiers ""public static final abstract"" for interface members There should be a preference (on the Code Style page?) where users can configuremodifiers to be generated for new interface members.The JLS allows to redundantly add any of- ""public static final"" to a field declaration - ""public static"" to a class declaration - ""public abstract"" to a method declaration in an interface.I'd suggest to add 4 checkboxes with label ""Add redundant modifiers to interfacemembers:"".Move Static Members and Extract Interface should respect this preference."
71761,8/11/2004 5:45,eclipse,"[import rewrite] ImportRewrite should let me add explicit import to existing on demand import ImportRewrite is too smart for me. In order to fix 71707 I need to add anexplicit import p.A to a CU with an existing import p.* (to avoid hiding ofreferences to ""A"" in an existing CU ""pack.User"" when a new type ""A"" is added topackage ""pack"").setFindAmbiguosImports() and setFilterImplicitImports() don't allow me toconfigure this behavior - the added import p.A is always swallowed when p.*already exists. setFindAmbiguosImports(true) doesn't work in my use case sincethe ambiguity is only to be introduced by the refactoring."
72847,8/29/2004 13:50,noopur_gupta,[JUnit] Add 'Show Stack Trace in Console View' toolbar button (was: Use regular console for JUnit stack trace) Currently JUnit view is using list-based widget to show error/failure stacktrace. It would be more natural to use standard console widget there (kepingfiltering feature for stack trace). This will allow to select fragment of stacktrace without copying it into clipboard.
77861,11/4/2004 11:59,kent_johnson,"[1.5] Illegal class file generated with duplicate methods 3.1M3 test passThe following class gets compiled without errors: public class K implements Comparable<K> { public int compareTo(Object o) { return 0; } public int compareTo(K o) { return 1; } }The class file gets 3 methods:- public int compareTo(Object arg);- public int compareTo(K arg);- public bridge synthetic int compareTo(Object arg);Using the class with ... class User { public static void main(String[] args) { K k= new K(); k.compareTo(new K()); } }... gives a classloader exception:Exception in thread ""main"" java.lang.ClassFormatError: Repetitive methodname/signature in class file k/Kjavac1.5.0 resists to compile the source:name clash: compareTo(java.lang.Object) in k.K and compareTo(T) injava.lang.Comparable<k.K> have the same erasure yet neither overrides the other"
78422,11/11/2004 15:26,darin.eclipse,test failure: testSimpleLineCounter On occasion the following test failure occurs on Linux. See I20041110-1000I've frequently seen the same failure running locally on Mac.Wrong number of lines output expected:<11> but was:<0>junit.framework.AssertionFailedError: Wrong number of lines output expected:<11> but was:<0>at org.eclipse.jdt.debug.tests.core.LineTrackerTests.testSimpleLineCounter(LineTrackerTests.java:78)at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)at org.eclipse.jdt.debug.tests.DebugSuite$1.run(DebugSuite.java:53)at java.lang.Thread.run(Thread.java:534)
79068,11/19/2004 8:47,Olivier_Thomann,"[formatter] Need option to control line wrapping before/after operators need option to control line wrapping before/after operatorsIt would be nice if there was a code formatting option (that could ideally bereferenced by the wrap java strings feature of the java editor) to set wrappingbefore or after operators. One example of where this option would apply is when formatting code that lookslike this: if (a.getSomeBooleanValue() && b.getSomeOtherBooleanValue() && c.getYetAnotherBooleanValue()) { doSomething(); }The code formatter currently always changes the code above to the code belowand there's no option (at least not that I've found) to control this behavior. if (a.getSomeBooleanValue() && b.getSomeOtherBooleanValue() && c.getYetAnotherBooleanValue()) { doSomething(); }Note also that the wrap java strings feature and the code formatter areinconsistent with respect to this behavior. Specifically if I use the wrapjava strings feature I get this: System.out.println(""asdlfj asfl;kj saflksj fl;ksaj flsjd f;asl fsjdf"" + ""sdflkjsdfl;jaslfdjsdlfkj sdflk sdjflks f"");Now when I format the code using the code formatter I get System.out.println(""asdlfj asfl;kj saflksj fl;ksaj flsjd f;asl fsjdf"" + ""sdflkjsdfl;jaslfdjsdlfkj sdflk sdjflks f"");Note that one wraps before the + operator and the other wraps after the plusoperator (not to mention the inconsistent indentation)."
80014,12/2/2004 10:19,Olivier_Thomann,@Retention(RetentionPolicy.RUNTIME) is ignored for annotations I'm using eclipse-SDK-I20041201-win32.zip.Runtime retention policy does not seems to be implemented in the compiler. Inthe provided test null should not be returned from getAnnotation() method
81824,12/22/2004 16:19,kent_johnson,"A generic interface is allowed to be implemented more than once - contrary to Java language specification Implementing a generic interface with different type parameters is allowed bythe JDT compiler however this should not be so. Loading such an implementingclass in the JVM causes:java.lang.ClassFormatError: Repetitive interface name in class file X	at java.lang.ClassLoader.defineClass1(Native Method)	at java.lang.ClassLoader.defineClass(ClassLoader.java:620)and so on...(Note: I am assuming that the language specification disallows the describedbehaviour just because I see the exception at runtime - I haven't really readthe specs)The shortest code to reproduce the problem is:interface I<T> {}public class X implements I<Integer> I<String> {	public static void main(String... args) {} }Just execute the main method to get the exception.Note that compiling by the original javac yields:X.java:2: I cannot be inherited with different arguments: <java.lang.Integer>and <java.lang.String>public class X implements I<Integer> I<String> { ^1 errorThe problem was discovered in Eclipse 3.1M4 under Windows XP with Sun's JDK5.0(javac 1.5.0-rc). Not tested on any other configuration but /should/ beEclipse-specific and presumably reproducible on other platforms with thisEclipse build.-- Irfy"
90140,4/4/2005 6:29,sandra.lions-piron,[quick fix] for qualified enum constants in switch-case labels
90351,4/5/2005 15:11,darin.eclipse,[performance test] Tests completing too quickly Many debug performance tests are completing in under 1 second (elapsed time). These tests should be removed or refactored to run longer (between 1 and 10 seconds).
91104,4/12/2005 6:33,noopur_gupta,"[hovering] Javadoc hover does not show Javadoc of (type) parameters I20050405-0800 + ZRH plugin exportThe javadoc hover does not show javadoc associated with type parameters.Steps to reproduce:- Create cu	/**	 * Description of foo	 * @param <T> description of type parameter	 * @param t description of argument	 */	public final <T> void foo(T t) { }- Hover over the type of the method argument 't'-> No javadoc available-> Same also happens for type parameters of classes"
93459,5/2/2005 17:23,mateusz.matela,"[formatter] HTML tags in Javadoc sometimes don't get wrapped Version: 3.1.0Build id: I20050401-1645A Javadoc 120 max line width limit is not applied to: /** * <p> * Returns whether the named charset is supported. * </p> * <p> * This is similar to <a *href=""http://java.sun.com/j2se/1.4.2/docs/api/java/nio/charset/Charset.html#isSupported(java.lang.String)"">java.nio.charset.Charset.isSupported(String)</a> * </p> * * @param name * the name of the requested charset; may be either a canonicalname or an alias * @return <code>true</code> if and only if support for the named charsetis available in the current Java * virtual machine * * @see <ahref=""http://java.sun.com/j2se/1.3/docs/api/java/lang/package-summary.html#charenc"">JREcharacter * encoding names</a> */Note that the @see properly breaks the line appart in the <a>."
94452,5/10/2005 14:06,loskutov,Timeout exceptions I20050509-2010I am able to produce timeout exceptions by stepping in a method while a logical structure is displayed for a Vector. Stepping quickly - allow the UI to start to update and then step again - seems to cause the problem. I am not holding down the step key. This may be flooding the target with requests as the views are attempting to update as the next step starts.
95414,5/16/2005 13:50,markus.kell.r,[open type] Multi-select in Open Type dialog Build: 3.1 M7I find the new history section of the Open Type dialog to be so useful that Inow frequently close all (Ctrl+Shift+W) when things become cluttered. Afterthat I frequently want to just reopen a small number of types from my history. It would be neat if I could multi-select types in the Open Type dialogallowing me to quickly reopen several recently used types in my history at once.
102512,7/1/2005 13:55,xcoulon,"[JUnit] test method name cut off before ( In case my test's name is ""log on test (user peter)"" the JUnit view will in the left window only show ""log on test "" leaving out the most interesting part."
103672,7/13/2005 12:03,markus.kell.r,"compiler problem VARARGS_ARGUMENT_NEED_CAST only explains one of two solutions 3.1The compiler problem COMPILER_PB_VARARGS_ARGUMENT_NEED_CAST is a bit misleadingsince it only explains one of two solutions to the underlying problem (see bug103667) when it says:""Varargs argument null should be cast to Object[] when passed to the methodaddElements(Object...) from type VarargExample"".The compiler preference page calls this 'Inexact type match for varargsargument' and I think the error message should rather explain this problem thanpropose a solution.My proposal for a more neutral error message:""Varargs argument null does not match argument type Object[] of method addElements(Object...) from type VarargExample""."
107001,8/15/2005 5:55,Olivier_Thomann,"ITypeBinding#getBinaryName() returns java.lang.Object for type variable I20050811-1530The javadoc of ITypeBinding#getBinaryName() says:	 * The binary name of a class is defined in the Java Language 	 * Specification 2nd edition section 13.1.It is not clear what should be returned for type variables. Currently themethod returns java.lang.Object. I would expect to get either null or thebinary name as defined in JLS3.No big deal for me right now just an API glitch."
113946,10/27/2005 6:01,mateusz.matela,[formatter] Ctrl+Shift+F does not reformat Javadoc above package keyword in package-info.java [formatting] CtrlShiftF does not reformat JavaDoc above package keyword in package-info.java. If you have a lot of Javadoc text some going past the 80 column mark and try to reformat it it does not work. Moving the Javadoc below the package keyword allows you to reformat the Javadoc comments.The comments need to be above the package keyword however if they are to appear in the html output of the javadoc tool.
117215,11/20/2005 11:05,hanke,"[templates][content assist] Content assist for 'for' loop should suggest member variables public class test {		private int[] arr = new int[5];		testmethod(){		//loop on the array		for*ctrl+space* 	}}Here suggestions for different for loops will be suggested - but they won't usethe private member ""arr"" in the code they generate.I hope this qualifies for an enhancement - especially for the new foreach loopthis will be nice to have.Thanks Anders"
